image_name,label
personE_11.png,forged
personE_43.png,forged
personE_31.png,forged
personE_10.png,forged
personE_24.png,forged
personE_39.png,forged
personE_26.png,forged
personE_13.png,forged
personE_23.png,forged
personE_12.png,forged
personE_6.png,forged
personE_41.png,forged
personE_28.png,forged
personE_14.png,forged
personE_7.png,forged
personE_20.png,forged
personE_30.png,forged
personE_36.png,forged
personE_44.png,forged
personE_25.png,forged
personE_34.png,real
personE_9.png,real
personE_47.png,real
personE_4.png,real
personE_1.png,real
personE_42.png,real
personE_33.png,real
personE_45.png,real
personE_29.png,real
personE_21.png,real
personE_46.png,real
personE_2.png,real
personE_48.png,real
personE_8.png,real
personE_16.png,real
personE_38.png,real
personE_3.png,real
personE_19.png,real
personE_37.png,real
personE_5.png,real
