image_name,label
personA_37.png,forged
personA_3.png,forged
personA_28.png,forged
personA_31.png,forged
personA_48.png,forged
personA_1.png,forged
personA_14.png,forged
personA_30.png,forged
personA_32.png,forged
personA_18.png,forged
personA_11.png,forged
personA_47.png,forged
personA_34.png,forged
personA_40.png,forged
personA_21.png,forged
personA_5.png,forged
personA_16.png,forged
personA_45.png,forged
personA_24.png,forged
personA_12.png,forged
personA_9.png,real
personA_15.png,real
personA_6.png,real
personA_36.png,real
personA_41.png,real
personA_44.png,real
personA_8.png,real
personA_23.png,real
personA_4.png,real
personA_22.png,real
personA_17.png,real
personA_7.png,real
personA_43.png,real
personA_26.png,real
personA_38.png,real
personA_46.png,real
personA_25.png,real
personA_39.png,real
personA_35.png,real
personA_19.png,real
