image_name,label
personD_27.png,forged
personD_3.png,forged
personD_1.png,forged
personD_29.png,forged
personD_35.png,forged
personD_5.png,forged
personD_4.png,forged
personD_23.png,forged
personD_6.png,forged
personD_10.png,forged
personD_7.png,forged
personD_30.png,forged
personD_32.png,forged
personD_9.png,forged
personD_37.png,forged
personD_28.png,forged
personD_45.png,forged
personD_11.png,forged
personD_24.png,forged
personD_44.png,forged
personD_43.png,real
personD_8.png,real
personD_34.png,real
personD_2.png,real
personD_38.png,real
personD_18.png,real
personD_39.png,real
personD_25.png,real
personD_33.png,real
personD_19.png,real
personD_46.png,real
personD_48.png,real
personD_20.png,real
personD_42.png,real
personD_36.png,real
personD_47.png,real
personD_13.png,real
personD_16.png,real
personD_12.png,real
personD_40.png,real
