image_name,label
personC_20.png,forged
personC_11.png,forged
personC_43.png,forged
personC_42.png,forged
personC_12.png,forged
personC_44.png,forged
personC_31.png,forged
personC_23.png,forged
personC_21.png,forged
personC_28.png,forged
personC_15.png,forged
personC_1.png,forged
personC_35.png,forged
personC_3.png,forged
personC_22.png,forged
personC_40.png,forged
personC_16.png,forged
personC_36.png,forged
personC_9.png,forged
personC_38.png,forged
personC_30.png,real
personC_33.png,real
personC_24.png,real
personC_18.png,real
personC_45.png,real
personC_27.png,real
personC_41.png,real
personC_47.png,real
personC_14.png,real
personC_7.png,real
personC_29.png,real
personC_25.png,real
personC_26.png,real
personC_5.png,real
personC_4.png,real
personC_46.png,real
personC_2.png,real
personC_10.png,real
personC_48.png,real
personC_37.png,real
