image_name,label
personB_37.png,forged
personB_3.png,forged
personB_28.png,forged
personB_31.png,forged
personB_48.png,forged
personB_1.png,forged
personB_14.png,forged
personB_30.png,forged
personB_32.png,forged
personB_18.png,forged
personB_11.png,forged
personB_47.png,forged
personB_34.png,forged
personB_40.png,forged
personB_21.png,forged
personB_5.png,forged
personB_16.png,forged
personB_45.png,forged
personB_24.png,forged
personB_12.png,forged
personB_9.png,real
personB_15.png,real
personB_6.png,real
personB_36.png,real
personB_41.png,real
personB_44.png,real
personB_8.png,real
personB_23.png,real
personB_4.png,real
personB_22.png,real
personB_17.png,real
personB_7.png,real
personB_43.png,real
personB_26.png,real
personB_38.png,real
personB_46.png,real
personB_25.png,real
personB_39.png,real
personB_35.png,real
personB_19.png,real
